Arabic,English
souq,market
mat'am,restaurant
maqha,cafe
funduq,hotel
mustashfa,hospital
saydaliya,pharmacy
hadeeqa,garden
mal'ab,playground
masbah,swimming pool
mat-haf,museum
seenama,cinema
masrah,theater
sawt,sound
daw',light
dhill,shadow
lawn,color
abyad,white
aswad,black
ahmar,red
azraq,blue
akhḍar,green
asfar,yellow
najm,star
wadi,valley
reeh,wind
nahar,day
saa'ah,hour
daqeeqah,minute
thaniyah,second
makaan,place
ardhiyah,floor
misbah,lamp
thallaajah,refrigerator
maghsalah,sink
tilfaz,television
raadyoo,radio
kitaab,book
waraqah,paper
haqeebah,bag
saa'at yad,watch
malaabis,clothes
qamees,shirt
bintal,pants
fustaan,dress
hithaa',shoe
jawaarib,socks
mi'taf,coat
wishaah,scarf
nawm,sleep
istayqaaz,wake up
akl,eat
shurb,drink
mashy,walk
rakd,run
juloos,sit
wuqoof,stand
qiraa'ah,reading
kitaabah,writing
istimaa',listening
mushahadah,watching
la'ab,play
amal,work
diraasah,study
safar,travel
ziyaarah,visit
raahah,rest
kurh,hate
farah,joy
huzn,sadness
ghadab,anger
khawf,fear
amal,hope
ardiyya,floor
ta'ira,airplane
taalib,student
dars,lesson
waraqa,paper
ilm,knowledge
kalima,word
jumla,sentence
nuqta,dot
alaama,sign
ghinaa',singing
raqs,dancing
fann,art
rasm,drawing
tasweer,photography
ramadi,gray
bunni,brown
wardi,pink
haasoub,computer
lawha,board
saa'a,clock
wisaada,pillow
battaaniya,blanket
sajjaada,carpet
saaboun,soap
minshafa,towel
hamaam,bathroom
dush,shower
mirhaad,toilet
koob,cup
sahen,plate
mil'aqa,spoon
sikkeen,knife
shawka,fork
qidr,pot
miqlaa,pan
ghalaaya,kettle
maa'ida,dining table
ta'aam,food
futoor,breakfast
ghadaa',lunch
asha',dinner
tuffaah,apple
burtuqaal,orange
inab,grapes
batteekh,watermelon
faraawila,strawberry
kumathraa,pear
khookh,peach
laymoon,lemon
maanju,mango
anaanaas,pineapple
jazar,carrot
bataata,potato
tamaatim,tomato
khiyaar,cucumber
basal,onion
thoom,garlic
filfil,pepper
sabaankh,spinach
khas,lettuce
dhura,corn
fitr,mushroom
aruzz,rice
khobz,bread
dajaaj,chicken
bayd,egg
haleeb,milk
jubn,cheese
zubda,butter
shaay,tea
qahwa,coffee
aseer,juice
maa' ma'dani,mineral water
mashroob,drink
halawiyaat,sweets
ka'aka,cake
baskweet,biscuit
shookoolaata,chocolate
ice cream,ice cream
asal,honey
murabba,jam
zayt,oil
khall,vinegar
salsa,sauce
tabaq,dish
wajba,meal
maa'idat al-ta'aam,dining table
matbakh nazif,clean kitchen
mukawwinat,ingredients
wasfa,recipe
tabbaakh,cook
maa'idat al-iftaar,breakfast table
maa'idat al-ghadaa',lunch table
maa'idat al-asha',dinner table
hawaa',air
taawilah,table
madeenah,city
qaryah,village
waadi,valley
birkah,pond
ghaabah,forest
aasifah,storm
haraarah,temperature
thaaniyah,second
sharaab,drink
faakihah,fruit
tamr,date
khudaar,vegetables
maktab,desk
kambyootar,computer
madrasah,school
jaami'ah,university
imtihaan,exam
najaaH,success
fashal,failure
fikr,thought
lughah,language
kalimah,word
jumlah,sentence
su'aal,question
jawaab,answer
taa'ir,bird
hisaan,horse
jamal,camel
feel,elephant
namir,tiger
tha'lab,fox
dhi'b,wolf
ghanam,sheep
ma'iz,goat
dajaajah,chicken
baydah,egg
farawlah,strawberry
wazifah,job
sharikah,company
mudeer,manager
muwaZZaf,employee
raatib,salary
maal,money
bank,bank
sooq,market
maHal,shop
shiraa',purchase
bay',sale
hadiyyah,gift
eid,holiday
sa'aadah,happiness
sadeeq,friend
shakhs,person
naas,people
aa'ilah,family
ibn,son
ibnah,daughter
turab,soil
ghaba,forest
waraqa,leaf
thaniya,second
usbu',week
mustaqbal,future
maadi,past
haadir,present
tawila,table
kanisa,church
sayyara,car
mina',port
darraja,bicycle
mashi,walking
rihla,trip
khareeta,map
ittijah,direction
shamaal,north
janoob,south
sharq,east
gharb,west
yameen,right
yasaar,left
a'laa,up
asfal,down
daakhil,inside
khaarij,outside
qareeb,near
ba'eed,far
kabeer,big
sagheer,small
taweel,tall
qaseer,short
saree',fast
batee',slow
thaqeel,heavy
khafeef,light
jadeed,new
qadeem,old
jameel,beautiful
qabeeh,ugly
sakhra,rock
meenaa',port
rakd,running
sibaha,swimming
qafz,jumping
juloos,sitting
wuqoof,standing
nawm,sleeping
istayqaaz,waking up
akl,eating
shurb,drinking
tabkh,cooking
tanzeef,cleaning
ghasl,washing
qiraa'a,reading
kitaaba,writing
la'ab,playing
mushahada,watching
kalaam,speaking
samt,silence
dahk,laughing
buka',crying
ibtisaama,smile
