AlertTimestamp,StoreID,ReportMonth,StoreLocation,StoreCategory,Metric,ObservedValue,Threshold,Operator,BreachAmount,Severity,RecommendedAction
2026-05-28 12:31:54,STORE-1153,2024-06-30,San Francisco,Grocery,Runway Months,8.5,12.0,<,3.5,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0791,2026-04-30,Palo Alto,Grocery,Runway Months,8.58,12.0,<,3.42,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0999,2025-08-31,Palo Alto,Grocery,Runway Months,8.78,12.0,<,3.22,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0146,2024-07-31,Sacramento,Electronics,Runway Months,8.84,12.0,<,3.16,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-1621,2025-06-30,Los Angeles,Grocery,Runway Months,8.88,12.0,<,3.12,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0953,2025-10-31,San Francisco,Grocery,Runway Months,8.95,12.0,<,3.05,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0080,2025-01-31,Palo Alto,Grocery,Runway Months,9.0,12.0,<,3.0,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-1459,2025-12-31,Los Angeles,Grocery,Runway Months,9.21,12.0,<,2.79,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0947,2025-04-30,Palo Alto,Grocery,Runway Months,9.34,12.0,<,2.66,CRITICAL,"Cash runway is shorter than target; raise margin, cut cost, or increase revenue coverage."
2026-05-28 12:31:54,STORE-0692,2026-01-31,San Francisco,Grocery,Burn Rate,132.05,60.0,>,72.05,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0673,2024-06-30,Palo Alto,Grocery,Burn Rate,126.37,60.0,>,66.37,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0836,2026-01-31,Los Angeles,Grocery,Burn Rate,125.53,60.0,>,65.53,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0069,2026-02-28,Los Angeles,Grocery,Burn Rate,123.45,60.0,>,63.45,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0593,2025-10-31,Los Angeles,Grocery,Burn Rate,122.02,60.0,>,62.02,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0151,2024-12-31,Palo Alto,Grocery,Burn Rate,116.58,60.0,>,56.58,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1185,2025-02-28,Palo Alto,Grocery,Burn Rate,116.03,60.0,>,56.03,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0024,2026-05-31,Palo Alto,Grocery,Burn Rate,114.27,60.0,>,54.27,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0809,2025-10-31,Sacramento,Electronics,Burn Rate,114.17,60.0,>,54.17,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0947,2025-04-30,Palo Alto,Grocery,Burn Rate,113.22,60.0,>,53.22,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0505,2024-06-30,San Francisco,Grocery,Burn Rate,113.1,60.0,>,53.1,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0236,2026-01-31,Palo Alto,Grocery,Burn Rate,112.3,60.0,>,52.3,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0121,2024-06-30,San Francisco,Grocery,Burn Rate,111.23,60.0,>,51.23,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0953,2025-10-31,San Francisco,Grocery,Burn Rate,111.21,60.0,>,51.21,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0115,2025-12-31,Palo Alto,Grocery,Burn Rate,111.12,60.0,>,51.12,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1193,2025-10-31,Los Angeles,Grocery,Burn Rate,110.91,60.0,>,50.91,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0830,2025-07-31,Palo Alto,Grocery,Burn Rate,109.55,60.0,>,49.55,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0877,2025-06-30,Palo Alto,Electronics,Burn Rate,109.35,60.0,>,49.35,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0195,2024-08-31,Palo Alto,Grocery,Burn Rate,108.95,60.0,>,48.95,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0540,2025-05-31,Palo Alto,Grocery,Burn Rate,108.54,60.0,>,48.54,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0520,2025-09-30,Sacramento,Grocery,Burn Rate,108.5,60.0,>,48.5,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0653,2024-10-31,Palo Alto,Grocery,Burn Rate,106.75,60.0,>,46.75,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0940,2024-09-30,San Francisco,Grocery,Burn Rate,105.87,60.0,>,45.87,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1158,2024-11-30,Palo Alto,Grocery,Burn Rate,105.54,60.0,>,45.54,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0108,2025-05-31,Palo Alto,Grocery,Burn Rate,104.91,60.0,>,44.91,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1050,2025-11-30,San Francisco,Grocery,Burn Rate,104.77,60.0,>,44.77,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1315,2025-12-31,San Francisco,Grocery,Burn Rate,104.66,60.0,>,44.66,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0149,2024-10-31,Palo Alto,Grocery,Burn Rate,104.43,60.0,>,44.43,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0680,2025-01-31,Palo Alto,Grocery,Burn Rate,104.01,60.0,>,44.01,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1478,2025-07-31,Palo Alto,Electronics,Burn Rate,103.94,60.0,>,43.94,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0881,2025-10-31,Palo Alto,Grocery,Burn Rate,103.7,60.0,>,43.7,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1165,2025-06-30,Palo Alto,Grocery,Burn Rate,103.62,60.0,>,43.62,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1170,2025-11-30,Los Angeles,Grocery,Burn Rate,103.2,60.0,>,43.2,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1495,2024-12-31,Los Angeles,Grocery,Burn Rate,102.87,60.0,>,42.87,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0568,2025-09-30,Palo Alto,Grocery,Burn Rate,102.86,60.0,>,42.86,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1230,2024-11-30,Palo Alto,Grocery,Burn Rate,102.86,60.0,>,42.86,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1085,2024-10-31,Palo Alto,Electronics,Burn Rate,102.16,60.0,>,42.16,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1331,2025-04-30,San Francisco,Grocery,Burn Rate,101.47,60.0,>,41.47,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0535,2024-12-31,San Francisco,Grocery,Burn Rate,101.45,60.0,>,41.45,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0999,2025-08-31,Palo Alto,Grocery,Burn Rate,101.26,60.0,>,41.26,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1359,2025-08-31,San Francisco,Grocery,Burn Rate,100.79,60.0,>,40.79,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0080,2025-01-31,Palo Alto,Grocery,Burn Rate,100.29,60.0,>,40.29,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1459,2025-12-31,Los Angeles,Grocery,Burn Rate,99.49,60.0,>,39.49,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1340,2026-01-31,San Francisco,Grocery,Burn Rate,98.41,60.0,>,38.41,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0366,2024-11-30,San Francisco,Clothing,Burn Rate,97.65,60.0,>,37.65,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1267,2025-12-31,Palo Alto,Grocery,Burn Rate,97.25,60.0,>,37.25,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0277,2025-06-30,Los Angeles,Grocery,Burn Rate,97.2,60.0,>,37.2,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0790,2026-03-31,Los Angeles,Electronics,Burn Rate,96.74,60.0,>,36.74,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1377,2025-02-28,Palo Alto,Grocery,Burn Rate,96.57,60.0,>,36.57,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1429,2025-06-30,San Francisco,Clothing,Burn Rate,96.14,60.0,>,36.14,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0219,2024-08-31,Los Angeles,Electronics,Burn Rate,95.36,60.0,>,35.36,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0714,2025-11-30,Sacramento,Grocery,Burn Rate,95.11,60.0,>,35.11,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0422,2025-07-31,Palo Alto,Grocery,Burn Rate,95.09,60.0,>,35.09,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0634,2025-03-31,Sacramento,Grocery,Burn Rate,94.92,60.0,>,34.92,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1477,2025-06-30,Palo Alto,Grocery,Burn Rate,94.88,60.0,>,34.88,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1310,2025-07-31,San Francisco,Electronics,Burn Rate,94.74,60.0,>,34.74,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1381,2025-06-30,Palo Alto,Electronics,Burn Rate,94.73,60.0,>,34.73,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0857,2025-10-31,San Francisco,Grocery,Burn Rate,94.34,60.0,>,34.34,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0042,2025-11-30,Palo Alto,Electronics,Burn Rate,93.89,60.0,>,33.89,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0448,2025-09-30,Los Angeles,Grocery,Burn Rate,93.57,60.0,>,33.57,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0215,2026-04-30,Sacramento,Grocery,Burn Rate,93.53,60.0,>,33.53,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1023,2025-08-31,Los Angeles,Grocery,Burn Rate,93.51,60.0,>,33.51,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1528,2025-09-30,Sacramento,Grocery,Burn Rate,93.48,60.0,>,33.48,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0726,2024-11-30,Sacramento,Grocery,Burn Rate,93.47,60.0,>,33.47,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1061,2024-10-31,Palo Alto,Electronics,Burn Rate,93.08,60.0,>,33.08,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0792,2026-05-31,Palo Alto,Grocery,Burn Rate,92.72,60.0,>,32.72,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1011,2024-08-31,Sacramento,Grocery,Burn Rate,92.59,60.0,>,32.59,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1234,2025-03-31,San Francisco,Electronics,Burn Rate,92.25,60.0,>,32.25,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1067,2025-04-30,Palo Alto,Electronics,Burn Rate,92.23,60.0,>,32.23,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1597,2025-06-30,Los Angeles,Grocery,Burn Rate,92.08,60.0,>,32.08,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0158,2025-07-31,San Francisco,Grocery,Burn Rate,91.73,60.0,>,31.73,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0491,2025-04-30,Palo Alto,Grocery,Burn Rate,91.73,60.0,>,31.73,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1244,2026-01-31,San Francisco,Grocery,Burn Rate,91.65,60.0,>,31.65,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0007,2024-12-31,San Francisco,Electronics,Burn Rate,91.56,60.0,>,31.56,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1585,2024-06-30,Los Angeles,Grocery,Burn Rate,91.49,60.0,>,31.49,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0462,2024-11-30,San Francisco,Electronics,Burn Rate,91.34,60.0,>,31.34,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1115,2025-04-30,San Francisco,Grocery,Burn Rate,90.63,60.0,>,30.63,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1349,2024-10-31,San Francisco,Electronics,Burn Rate,90.61,60.0,>,30.61,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1146,2025-11-30,Sacramento,Grocery,Burn Rate,90.52,60.0,>,30.52,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0354,2025-11-30,Sacramento,Grocery,Burn Rate,90.49,60.0,>,30.49,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0998,2025-07-31,Los Angeles,Electronics,Burn Rate,90.49,60.0,>,30.49,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0688,2025-09-30,Sacramento,Grocery,Burn Rate,90.2,60.0,>,30.2,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1457,2025-10-31,Palo Alto,Electronics,Burn Rate,90.13,60.0,>,30.13,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1388,2026-01-31,Los Angeles,Grocery,Burn Rate,89.81,60.0,>,29.81,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0801,2025-02-28,Los Angeles,Grocery,Burn Rate,89.11,60.0,>,29.11,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0601,2024-06-30,Los Angeles,Electronics,Burn Rate,88.6,60.0,>,28.6,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1140,2025-05-31,Palo Alto,Grocery,Burn Rate,88.35,60.0,>,28.35,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-1360,2025-09-30,Palo Alto,Grocery,Burn Rate,88.01,60.0,>,28.01,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0696,2026-05-31,Palo Alto,Grocery,Burn Rate,87.96,60.0,>,27.96,CRITICAL,Average monthly burn is above tolerance; review cost structure and working capital.
2026-05-28 12:31:54,STORE-0414,2024-11-30,Los Angeles,Electronics,CLV/CAC Ratio,0.24,3.0,<,2.76,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1263,2025-08-31,Sacramento,Electronics,CLV/CAC Ratio,0.29,3.0,<,2.71,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1341,2026-02-28,Sacramento,Electronics,CLV/CAC Ratio,0.32,3.0,<,2.68,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0737,2025-10-31,San Francisco,Electronics,CLV/CAC Ratio,0.33,3.0,<,2.67,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0586,2025-03-31,Los Angeles,Electronics,CLV/CAC Ratio,0.34,3.0,<,2.66,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0708,2025-05-31,Palo Alto,Electronics,CLV/CAC Ratio,0.36,3.0,<,2.64,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1329,2025-02-28,Sacramento,Electronics,CLV/CAC Ratio,0.39,3.0,<,2.61,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0617,2025-10-31,Sacramento,Electronics,CLV/CAC Ratio,0.41,3.0,<,2.59,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0977,2025-10-31,San Francisco,Electronics,CLV/CAC Ratio,0.42,3.0,<,2.58,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1172,2026-01-31,Sacramento,Electronics,CLV/CAC Ratio,0.45,3.0,<,2.55,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0841,2024-06-30,San Francisco,Electronics,CLV/CAC Ratio,0.47,3.0,<,2.53,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0743,2026-04-30,San Francisco,Electronics,CLV/CAC Ratio,0.48,3.0,<,2.52,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1428,2025-05-31,Los Angeles,Electronics,CLV/CAC Ratio,0.48,3.0,<,2.52,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0791,2026-04-30,Palo Alto,Grocery,CLV/CAC Ratio,0.49,3.0,<,2.51,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0633,2025-02-28,Sacramento,Electronics,CLV/CAC Ratio,0.5,3.0,<,2.5,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0654,2024-11-30,Sacramento,Clothing,CLV/CAC Ratio,0.5,3.0,<,2.5,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0109,2025-06-30,San Francisco,Electronics,CLV/CAC Ratio,0.51,3.0,<,2.49,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0601,2024-06-30,Los Angeles,Electronics,CLV/CAC Ratio,0.51,3.0,<,2.49,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1598,2025-07-31,San Francisco,Electronics,CLV/CAC Ratio,0.51,3.0,<,2.49,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0179,2025-04-30,San Francisco,Electronics,CLV/CAC Ratio,0.52,3.0,<,2.48,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1110,2024-11-30,Los Angeles,Electronics,CLV/CAC Ratio,0.53,3.0,<,2.47,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1511,2026-04-30,Sacramento,Clothing,CLV/CAC Ratio,0.56,3.0,<,2.44,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0056,2025-01-31,Palo Alto,Electronics,CLV/CAC Ratio,0.57,3.0,<,2.43,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0828,2025-05-31,Sacramento,Electronics,CLV/CAC Ratio,0.57,3.0,<,2.43,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0692,2026-01-31,San Francisco,Grocery,CLV/CAC Ratio,0.58,3.0,<,2.42,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0141,2026-02-28,San Francisco,Electronics,CLV/CAC Ratio,0.59,3.0,<,2.41,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1451,2025-04-30,Palo Alto,Electronics,CLV/CAC Ratio,0.6,3.0,<,2.4,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1506,2025-11-30,Palo Alto,Electronics,CLV/CAC Ratio,0.6,3.0,<,2.4,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0228,2025-05-31,Sacramento,Electronics,CLV/CAC Ratio,0.61,3.0,<,2.39,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0314,2024-07-31,Sacramento,Electronics,CLV/CAC Ratio,0.61,3.0,<,2.39,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0991,2024-12-31,Palo Alto,Grocery,CLV/CAC Ratio,0.61,3.0,<,2.39,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0043,2025-12-31,Sacramento,Electronics,CLV/CAC Ratio,0.62,3.0,<,2.38,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0952,2025-09-30,Sacramento,Electronics,CLV/CAC Ratio,0.64,3.0,<,2.36,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0462,2024-11-30,San Francisco,Electronics,CLV/CAC Ratio,0.65,3.0,<,2.35,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0775,2024-12-31,Palo Alto,Electronics,CLV/CAC Ratio,0.65,3.0,<,2.35,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1166,2025-07-31,Sacramento,Grocery,CLV/CAC Ratio,0.65,3.0,<,2.35,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1231,2024-12-31,Los Angeles,Electronics,CLV/CAC Ratio,0.65,3.0,<,2.35,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1067,2025-04-30,Palo Alto,Electronics,CLV/CAC Ratio,0.66,3.0,<,2.34,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-0864,2026-05-31,Los Angeles,Electronics,CLV/CAC Ratio,0.67,3.0,<,2.33,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
2026-05-28 12:31:54,STORE-1085,2024-10-31,Palo Alto,Electronics,CLV/CAC Ratio,0.67,3.0,<,2.33,CRITICAL,Customer value does not sufficiently exceed acquisition cost.
